taskId,variant,verifierScore,verifierBlocked,constructs,forward_ok,trains,initial_loss,final_loss,error
gen-mlp-0,clean,88,False,True,True,True,3.6109,0.0,
gen-mlp-0,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x249 and 498x395)
gen-mlp-0,disconnect,10,True,True,False,False,,,node act1 has no computed input (disconnected)
gen-ae-1,clean,63,False,True,True,True,7.5508,0.0,
gen-ae-1,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x817 and 1634x107)
gen-ae-1,disconnect,10,True,True,False,False,,,node enc2 has no computed input (disconnected)
gen-cnn-2,clean,80,False,True,True,False,4.6266,3.9201,
gen-cnn-2,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x41 and 82x100)
gen-cnn-2,disconnect,10,True,True,False,False,,,node act1 has no computed input (disconnected)
gen-txf-3,clean,60,False,True,True,True,3.9606,0.013,
gen-txf-3,divisibility,15,True,False,False,False,,,embed_dim must be divisible by num_heads
gen-txf-3,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x164 and 328x52)
gen-txf-3,disconnect,10,True,True,False,False,,,node attn1 has no computed input (disconnected)
gen-gqa-4,clean,81,False,True,True,True,3.3635,0.3238,
gen-gqa-4,divisibility,10,True,False,False,False,,,embedDim % numHeads != 0
gen-gqa-4,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x48 and 96x27)
gen-gqa-4,disconnect,10,True,True,False,False,,,node attn1 has no computed input (disconnected)
gen-fix-5,clean,60,False,True,True,True,4.2782,0.0001,
gen-fix-5,divisibility,15,True,False,False,False,,,numHeads % numKVHeads != 0
gen-fix-5,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x336 and 672x72)
gen-fix-5,disconnect,10,True,True,False,False,,,node attn has no computed input (disconnected)
gen-trim-6,clean,80,False,True,True,True,3.3614,0.0011,
gen-trim-6,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x252 and 504x252)
gen-trim-6,disconnect,10,True,True,False,False,,,node act1 has no computed input (disconnected)
gen-norm-7,clean,100,False,True,True,True,3.3353,0.0026,
gen-norm-7,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x253 and 506x437)
gen-norm-7,disconnect,10,True,True,False,False,,,node act1 has no computed input (disconnected)
gen-tower-8,clean,88,False,True,True,True,0.9051,0.0008,
gen-tower-8,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x67 and 134x67)
gen-tower-8,disconnect,15,True,True,False,False,,,node user_act has no computed input (disconnected)
gen-grow-9,clean,80,False,True,True,True,3.4335,0.0,
gen-grow-9,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x1061 and 2122x1061)
gen-grow-9,disconnect,10,True,True,False,False,,,node act1 has no computed input (disconnected)
gen-mlp-10,clean,84,False,True,True,True,5.0861,0.0,
gen-mlp-10,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x917 and 1834x185)
gen-mlp-10,disconnect,10,True,True,False,False,,,node act1 has no computed input (disconnected)
gen-ae-11,clean,63,False,True,True,True,7.483,0.0,
gen-ae-11,linear-mismatch,15,True,True,False,False,,,mat1 and mat2 shapes cannot be multiplied (64x350 and 700x138)
